file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,132,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,8
style.css,133,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,134,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,135,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,2
style.css,136,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,14
style.css,137,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,138,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,139,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,2
style.css,140,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,14
style.css,141,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,0
style.css,142,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,0
style.css,143,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,22
style.css,144,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,15
style.css,145,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,17
style.css,146,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,147,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,148,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,10
style.css,149,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,12
style.css,150,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,22
style.css,151,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,152,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,153,css,bc944db4,karizabal,2025-04-11,19:03:25,-07:00,2025-04-11T19:03:25-07:00,0,4
style.css,154,css,bc944db4,karizabal,2025-04-11,19:03:25,-07:00,2025-04-11T19:03:25-07:00,1,11
style.css,155,css,bc944db4,karizabal,2025-04-11,19:03:25,-07:00,2025-04-11T19:03:25-07:00,1,14
style.css,156,css,078089e0,karizabal,2025-04-11,19:08:10,-07:00,2025-04-11T19:08:10-07:00,1,14
style.css,157,css,bc944db4,karizabal,2025-04-11,19:03:25,-07:00,2025-04-11T19:03:25-07:00,0,0
